name,ingredients,price
Marinara,"pomodoro pelato italiano macerato a mano, origano calabrese, aglio tritato ?ne, olio extravergine di oliva 100% italiano, basilico fresco", € 7.00 
Bufala,"pomodoro pelato San Marzano Dop, mozzarella di bufala campana DOP, parmigiano reggiano, olio extravergine 100% italiano, basilico fresco", € 11.00 
Veneta,"base bianca senza pomodoro, mozzarella da latte 100% italiano, provola affumicata, gocce di olio aromatizzato al tartufo, porchetta trevigiana selezione oro a ?ne cottura", € 12.50 
Saporita,"base bianca senza pomodoro, mozzarella da latte 100% italiano, gorgonzola DOP, grana padano DOP grattuggiato, prosciutto cotto alta qualità a ?ne cottura", € 12.00 
Sarda,"pomodoro pelato italiano, origano calabrese, mozzarella da latte 100% italiano, salsiccia di maiale senza conservanti aggiunti, pecorino sardo DOP grattuggiato (in cottura)", € 11.00 
Bologna,"base bianca senza pomodoro, mozzarella da latte 100% italiano, mortadella IGP antica bologna, stracciatella di burrata, granella di pistacchio", € 13.00 
Gricia,"base bianca senza pomodoro, mozzarella da latte 100% italiano, pecorino Romano DOP grattugiato, guanciale di Sauris, pepe nero macinato a ?ne cottura", € 11.50 
Salsiccia e friarielli,"base bianca senza pomodoro, mozzarella da latte 100% italiano, friarielli*, salsiccia senza conservanti aggiunti, provola affumicata, grana padano DOP", € 12.00 
Siciliana,"pomodoro pelato italiano, mozzarella di bufala campana DOP, olive della Riviera del Garda denocciolate, capperi siciliani, ?letti di acciughe, origano, basilico fresco", € 13.00 
Parma Dop,"pomodoro pelato italiano, mozzarella con latte di bufala spezzata a mano, crudo di Parma riserva DOP stagionato 24 mesi, basilico fresco", € 13.00 
Tirolese,"crema di ricotta alla base, mozzarella da latte 100% italiano, formaggio brie, speck di Sauris IGP", € 13.00 
Capricciosa,"salsa di pomodoro, mozzarella ?or di latte, prosciutto cotto alta qualità, carcio?, funghi champignon trifolati", € 10.50 
Diavola,"salsa di pomodoro, mozzarella ?or di latte, salamino piccante di Sauris", € 9.00 
Cotto e funghi,"salsa di pomodoro, mozzarella ?or di latte, prosciutto cotto alta qualità, funghi champignon trifolati", € 9.50 
Viennese,"salsa di pomodoro, mozzarella ?or di latte, wurstel dell’Alto Adige", € 8.50 
4 formaggi,"mozzarella ?or di latte, gorgonzola, brie, spolverata di Grana Padano DOP", € 10.50 
"Bresaola, rucola e grana","pomodoro pelato italiano, mozzarella da latte 100% italiano, rucola, bresaola della Valtellina IGP, ricciola di Grana Padano riserva", € 12.00 
Vegetariana,"pomodoro pelato italiano, mozzarella da latte 100% italiano, zucchine, peperoni, pomodorino datterino", € 10.50 
Romana,"pomodoro pelato italiano, mozzarella da latte 100% italiano, ?letti di acciughe interi, origano calabrese", € 10.00 
Parmigiana,"pomodoro pelato italiano, mozzarella da latte 100% italiano, melanzane cotte in forno a bassa temperatura, parmigiano reggiano grattuggiato in cottura, basilico fresco", € 10.50 
